!!SBtab DocumentName=' TableType='Compound' TableName=' Document=' Unit=' SBtabVersion='1.0' Date='2018-10-17' pH='6.5' ionic_strength='0.1' pMg='14.0' 	                                         	                    	    	                    	                 	
!Identifiers:kegg.compound                                                                                                                              	!Name                                    	!dG0_prime (kJ/mol) 	!pH 	!ionic strength (M) 	!temperature (K) 	!Comment
C00455                                                                                                                                                  	C_nicotinamide_d_ribonucleotide          	1364.6              	6.5 	0.1                 	298.15           	
C00463                                                                                                                                                  	C_indole                                 	487.7               	6.5 	0.1                 	298.15           	
C00469                                                                                                                                                  	C_ethanol                                	44.5                	6.5 	0.1                 	298.15           	
C00473                                                                                                                                                  	C_retinol                                	1102.9              	6.5 	0.1                 	298.15           	
C00474                                                                                                                                                  	C_ribitol                                	-322.5              	6.5 	0.1                 	298.15           	
C00476                                                                                                                                                  	C_d_lyxose                               	-372.2              	6.5 	0.1                 	298.15           	
C00491                                                                                                                                                  	C_l_cystine                              	-214.2              	6.5 	0.1                 	298.15           	
C00533                                                                                                                                                  	C_nitric_oxide                           	86.6                	6.5 	0.1                 	298.15           	
C00543                                                                                                                                                  	C_dimethylamine                          	297.6               	6.5 	0.1                 	298.15           	
C00565                                                                                                                                                  	C_trimethylamine                         	413.5               	6.5 	0.1                 	298.15           	
C00575                                                                                                                                                  	C_35_cyclic_amp                          	-376.8              	6.5 	0.1                 	298.15           	
C00577                                                                                                                                                  	C_d_glyceraldehyde                       	-213.9              	6.5 	0.1                 	298.15           	
C00620                                                                                                                                                  	C_d_ribose_1_phosphate                   	-1252               	6.5 	0.1                 	298.15           	
C00631                                                                                                                                                  	C_2_phospho_d_glycerate                  	-1354.6             	6.5 	0.1                 	298.15           	
C00636                                                                                                                                                  	C_d_mannos_1_phosphate                   	-1343.1             	6.5 	0.1                 	298.15           	
C00644                                                                                                                                                  	C_d_mannitol_1_phosphate                 	-1306.8             	6.5 	0.1                 	298.15           	
C00673                                                                                                                                                  	C_2_deoxy_d_ribose_5_phosphate           	-1112.3             	6.5 	0.1                 	298.15           	
C00697                                                                                                                                                  	C_nitrogen                               	18.7                	6.5 	0.1                 	298.15           	
C00791                                                                                                                                                  	C_creatinine                             	240.7               	6.5 	0.1                 	298.15           	
C00794                                                                                                                                                  	C_d_sorbitol                             	-418.6              	6.5 	0.1                 	298.15           	
C00849                                                                                                                                                  	C_ethyl_acetate                          	-36.1               	6.5 	0.1                 	298.15           	
C00887                                                                                                                                                  	C_nitrous_oxide                          	104.2               	6.5 	0.1                 	298.15           	
C00920                                                                                                                                                  	C_coa_glutathione                        	1848.2              	6.5 	0.1                 	298.15           	
C01005                                                                                                                                                  	C_o_phospho_l_serine                     	-1137.7             	6.5 	0.1                 	298.15           	
C01013                                                                                                                                                  	C_3_hydroxypropanoate                    	-330.5              	6.5 	0.1                 	298.15           	
C01083                                                                                                                                                  	C_alphaalpha_trehalose                   	-753.5              	6.5 	0.1                 	298.15           	
C01096                                                                                                                                                  	C_d_sorbitol_6_phosphate                 	-1306.2             	6.5 	0.1                 	298.15           	
C01112                                                                                                                                                  	C_arabinose_5_phosphate                  	-1262.7             	6.5 	0.1                 	298.15           	
C01113                                                                                                                                                  	C_6_phospho_d_galactose                  	-1345.3             	6.5 	0.1                 	298.15           	
C01127                                                                                                                                                  	C_4_hydroxy_2_oxoglutaric_acid           	-823.5              	6.5 	0.1                 	298.15           	
C01236                                                                                                                                                  	C_6_phospho_d_glucono_15_lactone         	-1410               	6.5 	0.1                 	298.15           	
C01352                                                                                                                                                  	C_fadh2                                  	1202.6              	6.5 	0.1                 	298.15           	
C01353                                                                                                                                                  	C_hco3_                                  	-549.7              	6.5 	0.1                 	298.15           	
C01384                                                                                                                                                  	C_maleic_acid                            	-519.1              	6.5 	0.1                 	298.15           	
C01412                                                                                                                                                  	C_butanal                                	171.7               	6.5 	0.1                 	298.15           	
C01417                                                                                                                                                  	C_cyanate                                	-98                 	6.5 	0.1                 	298.15           	
C01438                                                                                                                                                  	C_methane                                	116.4               	6.5 	0.1                 	298.15           	
C01507                                                                                                                                                  	C_l_iditol                               	-417                	6.5 	0.1                 	298.15           	
C01563                                                                                                                                                  	C_carbamate                              	-302.9              	6.5 	0.1                 	298.15           	
C01845                                                                                                                                                  	C_propan_2_ol                            	116.3               	6.5 	0.1                 	298.15           	
C01847                                                                                                                                                  	C_reduced_fmn                            	750.3               	6.5 	0.1                 	298.15           	
C01879                                                                                                                                                  	C_pidolic_acid                           	-243.6              	6.5 	0.1                 	298.15           	
C02037                                                                                                                                                  	C_glycylglycine                          	-218.6              	6.5 	0.1                 	298.15           	
C02084                                                                                                                                                  	C_tetrathionate                          	-1024.6             	6.5 	0.1                 	298.15           	
C02226                                                                                                                                                  	C_2_methylmaleate                        	-452.9              	6.5 	0.1                 	298.15           	
C02557                                                                                                                                                  	C_dl_methylmalonyl_coa                   	801.5               	6.5 	0.1                 	298.15           	
C02612                                                                                                                                                  	C_r_2_methylmalate                       	-620.2              	6.5 	0.1                 	298.15           	
C03196                                                                                                                                                  	C_s_2_hydroxyglutarate                   	-616.5              	6.5 	0.1                 	298.15           	
C03232                                                                                                                                                  	C_3_phosphonooxypyruvate                 	-1378.8             	6.5 	0.1                 	298.15           	
C03383                                                                                                                                                  	C_d_galactono_14_lactone                 	-528.4              	6.5 	0.1                 	298.15           	
C03384                                                                                                                                                  	C_d_galactose_1_phosphate                	-1344.8             	6.5 	0.1                 	298.15           	
C04348                                                                                                                                                  	C_3s_3_carboxy_3_hydroxypropanoyl_coa    	640.6               	6.5 	0.1                 	298.15           	
C05361                                                                                                                                                  	C_hydrazine                              	278.8               	6.5 	0.1                 	298.15           	
C05379                                                                                                                                                  	C_oxalosuccinate                         	-990.6              	6.5 	0.1                 	298.15           	
C05572                                                                                                                                                  	C_4_oxoglutaramate                       	-370.3              	6.5 	0.1                 	298.15           	
C05979                                                                                                                                                  	C_propane_1_ol                           	125.7               	6.5 	0.1                 	298.15           	
C05984                                                                                                                                                  	C_2_hydroxybutanoic_acid                 	-243.1              	6.5 	0.1                 	298.15           	
C06142                                                                                                                                                  	C_1_butanol                              	205.1               	6.5 	0.1                 	298.15           	
C07064                                                                                                                                                  	C_lactulose                              	-745.9              	6.5 	0.1                 	298.15           	
C09306                                                                                                                                                  	C_sulfur_dioxide                         	-300.7              	6.5 	0.1                 	298.15           	
C80045                                                                                                                                                  	C_ethane                                 	209.2               	6.5 	0.1                 	298.15           	
